"","dates","quantile","value"
"1",2020-04-04,"1%",0
"2",2020-04-05,"1%",0
"3",2020-04-06,"1%",0
"4",2020-04-07,"1%",0
"5",2020-04-08,"1%",0
"6",2020-04-09,"1%",0
"7",2020-04-10,"1%",0
"8",2020-04-11,"1%",0
"9",2020-04-12,"1%",0
"10",2020-04-13,"1%",0
"11",2020-04-14,"1%",0
"12",2020-04-15,"1%",0
"13",2020-04-16,"1%",0
"14",2020-04-17,"1%",0
"15",2020-04-18,"1%",0
"16",2020-04-19,"1%",0
"17",2020-04-20,"1%",0
"18",2020-04-21,"1%",0
"19",2020-04-22,"1%",0
"20",2020-04-23,"1%",0
"21",2020-04-24,"1%",0
"22",2020-04-25,"1%",0
"23",2020-04-26,"1%",0
"24",2020-04-27,"1%",0
"25",2020-04-28,"1%",0
"26",2020-04-29,"1%",0
"27",2020-04-30,"1%",0
"28",2020-05-01,"1%",0
"29",2020-05-02,"1%",0
"30",2020-05-03,"1%",0
"31",2020-04-04,"25%",1
"32",2020-04-05,"25%",1
"33",2020-04-06,"25%",1
"34",2020-04-07,"25%",1
"35",2020-04-08,"25%",1
"36",2020-04-09,"25%",1
"37",2020-04-10,"25%",1
"38",2020-04-11,"25%",0
"39",2020-04-12,"25%",1
"40",2020-04-13,"25%",0
"41",2020-04-14,"25%",0
"42",2020-04-15,"25%",0
"43",2020-04-16,"25%",0
"44",2020-04-17,"25%",0
"45",2020-04-18,"25%",0
"46",2020-04-19,"25%",0
"47",2020-04-20,"25%",0
"48",2020-04-21,"25%",0
"49",2020-04-22,"25%",0
"50",2020-04-23,"25%",0
"51",2020-04-24,"25%",0
"52",2020-04-25,"25%",0
"53",2020-04-26,"25%",0
"54",2020-04-27,"25%",0
"55",2020-04-28,"25%",0
"56",2020-04-29,"25%",0
"57",2020-04-30,"25%",0
"58",2020-05-01,"25%",0
"59",2020-05-02,"25%",0
"60",2020-05-03,"25%",0
"61",2020-04-04,"50%",2
"62",2020-04-05,"50%",2
"63",2020-04-06,"50%",2
"64",2020-04-07,"50%",2
"65",2020-04-08,"50%",2
"66",2020-04-09,"50%",2
"67",2020-04-10,"50%",1
"68",2020-04-11,"50%",1
"69",2020-04-12,"50%",2
"70",2020-04-13,"50%",1
"71",2020-04-14,"50%",1
"72",2020-04-15,"50%",1
"73",2020-04-16,"50%",1
"74",2020-04-17,"50%",1
"75",2020-04-18,"50%",1
"76",2020-04-19,"50%",1
"77",2020-04-20,"50%",1
"78",2020-04-21,"50%",1
"79",2020-04-22,"50%",1
"80",2020-04-23,"50%",1
"81",2020-04-24,"50%",1
"82",2020-04-25,"50%",1
"83",2020-04-26,"50%",1
"84",2020-04-27,"50%",1
"85",2020-04-28,"50%",1
"86",2020-04-29,"50%",1
"87",2020-04-30,"50%",1
"88",2020-05-01,"50%",1
"89",2020-05-02,"50%",1
"90",2020-05-03,"50%",1
"91",2020-04-04,"75%",4
"92",2020-04-05,"75%",3
"93",2020-04-06,"75%",3
"94",2020-04-07,"75%",3
"95",2020-04-08,"75%",3
"96",2020-04-09,"75%",3
"97",2020-04-10,"75%",3
"98",2020-04-11,"75%",3
"99",2020-04-12,"75%",3
"100",2020-04-13,"75%",3
"101",2020-04-14,"75%",2
"102",2020-04-15,"75%",2
"103",2020-04-16,"75%",2
"104",2020-04-17,"75%",3
"105",2020-04-18,"75%",2
"106",2020-04-19,"75%",2
"107",2020-04-20,"75%",2
"108",2020-04-21,"75%",2
"109",2020-04-22,"75%",2
"110",2020-04-23,"75%",2
"111",2020-04-24,"75%",2
"112",2020-04-25,"75%",2
"113",2020-04-26,"75%",2
"114",2020-04-27,"75%",2
"115",2020-04-28,"75%",2
"116",2020-04-29,"75%",2
"117",2020-04-30,"75%",2
"118",2020-05-01,"75%",2
"119",2020-05-02,"75%",2
"120",2020-05-03,"75%",1
"121",2020-04-04,"99%",8.00999999999999
"122",2020-04-05,"99%",8
"123",2020-04-06,"99%",7.00999999999999
"124",2020-04-07,"99%",7.00999999999999
"125",2020-04-08,"99%",8
"126",2020-04-09,"99%",8
"127",2020-04-10,"99%",7
"128",2020-04-11,"99%",7.00999999999999
"129",2020-04-12,"99%",7
"130",2020-04-13,"99%",7
"131",2020-04-14,"99%",7
"132",2020-04-15,"99%",6.00999999999999
"133",2020-04-16,"99%",7
"134",2020-04-17,"99%",7
"135",2020-04-18,"99%",6
"136",2020-04-19,"99%",7
"137",2020-04-20,"99%",7
"138",2020-04-21,"99%",6
"139",2020-04-22,"99%",7
"140",2020-04-23,"99%",6
"141",2020-04-24,"99%",6
"142",2020-04-25,"99%",6
"143",2020-04-26,"99%",6
"144",2020-04-27,"99%",7
"145",2020-04-28,"99%",7
"146",2020-04-29,"99%",6
"147",2020-04-30,"99%",6
"148",2020-05-01,"99%",6
"149",2020-05-02,"99%",6
"150",2020-05-03,"99%",6
