"","dates","quantile","value"
"1",2020-04-01,"1%",147
"2",2020-04-02,"1%",185.99
"3",2020-04-03,"1%",209.99
"4",2020-04-04,"1%",243.99
"5",2020-04-05,"1%",282.99
"6",2020-04-06,"1%",334.97
"7",2020-04-07,"1%",394.98
"8",2020-04-08,"1%",422.94
"9",2020-04-09,"1%",492.97
"10",2020-04-10,"1%",526.92
"11",2020-04-11,"1%",607
"12",2020-04-12,"1%",717.83
"13",2020-04-13,"1%",805.83
"14",2020-04-14,"1%",986.99
"15",2020-04-01,"25%",248
"16",2020-04-02,"25%",301
"17",2020-04-03,"25%",351
"18",2020-04-04,"25%",401
"19",2020-04-05,"25%",460.75
"20",2020-04-06,"25%",526
"21",2020-04-07,"25%",605
"22",2020-04-08,"25%",691
"23",2020-04-09,"25%",778.75
"24",2020-04-10,"25%",881
"25",2020-04-11,"25%",999.75
"26",2020-04-12,"25%",1141.75
"27",2020-04-13,"25%",1325
"28",2020-04-14,"25%",1483.75
"29",2020-04-01,"50%",285
"30",2020-04-02,"50%",347
"31",2020-04-03,"50%",402
"32",2020-04-04,"50%",465
"33",2020-04-05,"50%",532
"34",2020-04-06,"50%",608
"35",2020-04-07,"50%",700.5
"36",2020-04-08,"50%",789
"37",2020-04-09,"50%",901
"38",2020-04-10,"50%",1015
"39",2020-04-11,"50%",1181
"40",2020-04-12,"50%",1344.5
"41",2020-04-13,"50%",1526
"42",2020-04-14,"50%",1753
"43",2020-04-01,"75%",325.25
"44",2020-04-02,"75%",392.25
"45",2020-04-03,"75%",459
"46",2020-04-04,"75%",534
"47",2020-04-05,"75%",613
"48",2020-04-06,"75%",689
"49",2020-04-07,"75%",804
"50",2020-04-08,"75%",905.25
"51",2020-04-09,"75%",1038.25
"52",2020-04-10,"75%",1173.5
"53",2020-04-11,"75%",1355
"54",2020-04-12,"75%",1539
"55",2020-04-13,"75%",1782.5
"56",2020-04-14,"75%",2004
"57",2020-04-01,"99%",443.02
"58",2020-04-02,"99%",517.02
"59",2020-04-03,"99%",604.02
"60",2020-04-04,"99%",700.03
"61",2020-04-05,"99%",796
"62",2020-04-06,"99%",882.13
"63",2020-04-07,"99%",1079.01
"64",2020-04-08,"99%",1233.09
"65",2020-04-09,"99%",1442.01
"66",2020-04-10,"99%",1601.07
"67",2020-04-11,"99%",1900.02
"68",2020-04-12,"99%",2084.1
"69",2020-04-13,"99%",2433.17
"70",2020-04-14,"99%",2726.26
