"","dates","quantile","value"
"1",2020-03-31,"1%",7
"2",2020-04-01,"1%",7.99
"3",2020-04-02,"1%",7
"4",2020-04-03,"1%",7
"5",2020-04-04,"1%",7
"6",2020-04-05,"1%",8
"7",2020-04-06,"1%",7
"8",2020-04-07,"1%",7.99
"9",2020-04-08,"1%",8
"10",2020-04-09,"1%",8
"11",2020-04-10,"1%",8
"12",2020-04-11,"1%",7
"13",2020-04-12,"1%",7
"14",2020-04-13,"1%",8
"15",2020-04-14,"1%",8
"16",2020-04-15,"1%",8
"17",2020-04-16,"1%",8
"18",2020-04-17,"1%",9
"19",2020-04-18,"1%",8
"20",2020-04-19,"1%",8.99
"21",2020-04-20,"1%",8
"22",2020-04-21,"1%",9
"23",2020-04-22,"1%",8.99
"24",2020-04-23,"1%",9
"25",2020-04-24,"1%",8.99
"26",2020-04-25,"1%",9.99
"27",2020-04-26,"1%",9
"28",2020-04-27,"1%",9.99
"29",2020-04-28,"1%",9
"30",2020-04-29,"1%",8
"31",2020-03-31,"25%",15
"32",2020-04-01,"25%",14
"33",2020-04-02,"25%",14
"34",2020-04-03,"25%",14
"35",2020-04-04,"25%",14
"36",2020-04-05,"25%",15
"37",2020-04-06,"25%",14.75
"38",2020-04-07,"25%",15
"39",2020-04-08,"25%",15
"40",2020-04-09,"25%",15
"41",2020-04-10,"25%",15
"42",2020-04-11,"25%",15
"43",2020-04-12,"25%",16
"44",2020-04-13,"25%",16
"45",2020-04-14,"25%",16
"46",2020-04-15,"25%",16
"47",2020-04-16,"25%",17
"48",2020-04-17,"25%",17
"49",2020-04-18,"25%",16
"50",2020-04-19,"25%",17
"51",2020-04-20,"25%",17
"52",2020-04-21,"25%",17
"53",2020-04-22,"25%",17
"54",2020-04-23,"25%",17.75
"55",2020-04-24,"25%",18
"56",2020-04-25,"25%",18
"57",2020-04-26,"25%",18
"58",2020-04-27,"25%",19
"59",2020-04-28,"25%",19
"60",2020-04-29,"25%",19
"61",2020-03-31,"50%",18
"62",2020-04-01,"50%",18
"63",2020-04-02,"50%",17
"64",2020-04-03,"50%",17
"65",2020-04-04,"50%",17
"66",2020-04-05,"50%",18
"67",2020-04-06,"50%",18
"68",2020-04-07,"50%",18
"69",2020-04-08,"50%",19
"70",2020-04-09,"50%",19
"71",2020-04-10,"50%",20
"72",2020-04-11,"50%",19
"73",2020-04-12,"50%",19
"74",2020-04-13,"50%",20
"75",2020-04-14,"50%",20
"76",2020-04-15,"50%",20
"77",2020-04-16,"50%",20
"78",2020-04-17,"50%",21
"79",2020-04-18,"50%",21
"80",2020-04-19,"50%",21
"81",2020-04-20,"50%",22
"82",2020-04-21,"50%",22
"83",2020-04-22,"50%",22
"84",2020-04-23,"50%",22
"85",2020-04-24,"50%",23
"86",2020-04-25,"50%",23
"87",2020-04-26,"50%",23
"88",2020-04-27,"50%",24
"89",2020-04-28,"50%",24
"90",2020-04-29,"50%",24
"91",2020-03-31,"75%",22
"92",2020-04-01,"75%",21
"93",2020-04-02,"75%",21
"94",2020-04-03,"75%",20
"95",2020-04-04,"75%",21
"96",2020-04-05,"75%",21
"97",2020-04-06,"75%",22
"98",2020-04-07,"75%",22
"99",2020-04-08,"75%",22.25
"100",2020-04-09,"75%",23
"101",2020-04-10,"75%",24
"102",2020-04-11,"75%",23
"103",2020-04-12,"75%",24
"104",2020-04-13,"75%",24
"105",2020-04-14,"75%",25
"106",2020-04-15,"75%",25
"107",2020-04-16,"75%",25
"108",2020-04-17,"75%",26
"109",2020-04-18,"75%",25
"110",2020-04-19,"75%",26
"111",2020-04-20,"75%",27
"112",2020-04-21,"75%",26
"113",2020-04-22,"75%",27
"114",2020-04-23,"75%",27
"115",2020-04-24,"75%",28
"116",2020-04-25,"75%",29
"117",2020-04-26,"75%",29
"118",2020-04-27,"75%",29
"119",2020-04-28,"75%",30
"120",2020-04-29,"75%",30
"121",2020-03-31,"99%",32
"122",2020-04-01,"99%",32
"123",2020-04-02,"99%",29
"124",2020-04-03,"99%",30
"125",2020-04-04,"99%",32
"126",2020-04-05,"99%",31.01
"127",2020-04-06,"99%",34
"128",2020-04-07,"99%",34.01
"129",2020-04-08,"99%",34.01
"130",2020-04-09,"99%",36.01
"131",2020-04-10,"99%",38
"132",2020-04-11,"99%",36
"133",2020-04-12,"99%",38
"134",2020-04-13,"99%",38.01
"135",2020-04-14,"99%",38
"136",2020-04-15,"99%",39
"137",2020-04-16,"99%",39.01
"138",2020-04-17,"99%",38
"139",2020-04-18,"99%",39
"140",2020-04-19,"99%",39
"141",2020-04-20,"99%",41
"142",2020-04-21,"99%",41.01
"143",2020-04-22,"99%",44
"144",2020-04-23,"99%",42
"145",2020-04-24,"99%",45
"146",2020-04-25,"99%",44
"147",2020-04-26,"99%",44
"148",2020-04-27,"99%",46.01
"149",2020-04-28,"99%",46
"150",2020-04-29,"99%",46.01
